#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AcrobatNotificationClient","1","366","290537472","20480","7307264","21256","C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe",,"0.1875",,,,,"Process","8",,"False",,"2900","Microsoft.Win32.SafeHandles.SafeProcessHandle","366","7720",".","0","","System.Diagnostics.ProcessModule (AcrobatNotificationClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21256","21256","7307264","7307264","402872","402872","8290304","8290304","31002624","31002624","323256320","323256320","True","Normal","7307264","7307264","00:00:00.1406250","AcrobatNotificationClient","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:47 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0468750","290537472","290537472","False",,,,"20480","20480",,
"acrotray","1","214","162119680","2715648","3796992","14864","C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\acrotray.exe","Adobe Systems Inc.","0.046875","21.5.20060.443953","21.5.20060.443953","AcroTray","AcroTray - Adobe Acrobat Distiller helper application.","Process","8",,"False",,"2736","Microsoft.Win32.SafeHandles.SafeProcessHandle","214","8024",".","0","","System.Diagnostics.ProcessModule (acrotray.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14864","14864","3796992","3796992","177872","177872","4116480","4116480","12316672","12316672","172183552","172183552","True","Normal","3796992","3796992","00:00:00.0156250","acrotray","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0312500","162119680","162119680","False",,,,"2715648","2715648",,
"Adobe CEF Helper","1","386","2203663081472","8699904","11096064","31116","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","Adobe Inc.","1.046875","5.5.0.617","5.5.0.617","Adobe CEF Helper","Adobe CEF Helper","Process","8",,"False",,"2036","Microsoft.Win32.SafeHandles.SafeProcessHandle","386","9772",".","0","","System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31116","31116","11096064","11096064","595312","595312","11612160","11612160","29605888","29605888","356130816","2203674353664","True","Normal","11096064","11096064","00:00:00.6718750","Adobe CEF Helper","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0468750","00:00:00.3750000","344858624","2203663081472","False",,,,"8699904","8699904",,
"Adobe CEF Helper","1","756","2208625106944","100954112","162103296","78536","C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","Adobe Inc.","12.984375","5.5.0.617","5.5.0.617","Adobe CEF Helper","Adobe CEF Helper","Process","8",,"False",,"2808","Microsoft.Win32.SafeHandles.SafeProcessHandle","756","9800",".","0","","System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","78536","78536","162103296","162103296","810776","810776","562343936","562343936","626515968","626515968","347811840","2212255969280","True","Normal","162103296","162103296","00:00:01.4062500","Adobe CEF Helper","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.9843750","00:00:11.5781250","1011916800","2208625106944","False",,,,"100954112","100954112",,
"Adobe Desktop Service","1","1273","525365248","74534912","93102080","78944","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","Adobe Inc.","7.078125","5.5.0.617","5.5.0.617","Creative Cloud","Adobe Creative Cloud","Process","8",,"False",,"1864","Microsoft.Win32.SafeHandles.SafeProcessHandle","1273","9784",".","66370","","System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","78944","78944","93102080","93102080","607280","607280","245788672","245788672","284053504","284053504","753721344","753721344","True","Normal","93102080","93102080","00:00:03.0781250","Adobe Desktop Service","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.0781250","00:00:04","525365248","525365248","False",,,,"74534912","74534912",,
"Adobe Installer","1","224","116924416","2342912","3772416","14848","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\Adobe Installer.exe","Adobe Inc.","0.03125","5.5.0.617","5.5.0.617","Adobe Installer","Adobe Installer","Process","8",,"False",,"856","Microsoft.Win32.SafeHandles.SafeProcessHandle","224","10684",".","0","","System.Diagnostics.ProcessModule (Adobe Installer.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14848","14848","3772416","3772416","159024","159024","4153344","4153344","11399168","11399168","123899904","123899904","True","Normal","3772416","3772416","00:00:00.0312500","Adobe Installer","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:08 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","116924416","116924416","False",,,,"2342912","2342912",,
"AdobeCollabSync","1","479","181428224","5750784","7278592","22624","C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","Adobe Systems Incorporated","1.3125","21.5.20060.443953","21.5.20060.443953","Adobe Collaboration Synchronizer 21.5","","Process","8",,"False",,"2828","Microsoft.Win32.SafeHandles.SafeProcessHandle","479","8256",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22624","22624","7278592","7278592","203984","203984","8138752","8138752","19263488","19263488","196558848","196558848","True","Normal","7278592","7278592","00:00:00.3593750","AdobeCollabSync","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3125000","00:00:00.9531250","181428224","181428224","False",,,,"5750784","5750784",,
"AdobeCollabSync","1","280","158949376","2297856","3903488","14488","C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","Adobe Systems Incorporated","0.03125","21.5.20060.443953","21.5.20060.443953","Adobe Collaboration Synchronizer 21.5","","Process","8",,"False",,"2740","Microsoft.Win32.SafeHandles.SafeProcessHandle","280","9204",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14488","14488","3903488","3903488","190976","190976","4419584","4419584","11644928","11644928","176185344","176185344","True","Normal","3903488","3903488","00:00:00.0156250","AdobeCollabSync","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:18:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","158949376","158949376","False",,,,"2297856","2297856",,
"AdobeIPCBroker","1","308","116506624","4485120","6307840","23056","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","Adobe Inc","1.5","6.7.0.44","6.7.0.44","Adobe IPC Broker","Adobe IPC Broker","Process","8",,"False",,"2608","Microsoft.Win32.SafeHandles.SafeProcessHandle","308","5232",".","0","","System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23056","23056","6307840","6307840","185728","185728","13254656","13254656","17924096","17924096","128704512","128704512","True","Normal","6307840","6307840","00:00:00.4062500","AdobeIPCBroker","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5000000","00:00:01.0937500","116506624","116506624","False",,,,"4485120","4485120",,
"AdobeNotificationClient","1","392","293613568","20480","7180288","20712","C:\Program Files\WindowsApps\AdobeNotificationClient_2.0.1.8_x86__enpm4xejd91yc\AdobeNotificationClient.exe","Adobe Inc.","0.140625","5.2.0.121","5.2.0.121","Adobe Notification Client","Adobe Notification Client","Process","8",,"False",,"784","Microsoft.Win32.SafeHandles.SafeProcessHandle","392","10124",".","0","","System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20712","20712","7180288","7180288","413840","413840","8564736","8564736","31170560","31170560","332410880","332410880","True","Normal","7180288","7180288","00:00:00.0468750","AdobeNotificationClient","63","True","1","System.Diagnostics.ProcessStartInfo","8/26/2021 11:19:07 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0937500","293613568","293613568","False",,,,"20480","20480",,
