TestName;TestDateTime;TestId;ErrorCode;ProcedureId;ProcedureName;UserResponse;Response Code;ElapsedTime;ErrorText;Response Text;UserName;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;6;6;110;Move Error on Tips:             7    Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;3;3;166;Move Error on Tips:             7    Move Tips Back?;Abort;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;119;12;Transfer Samples_1;9;9;65;Not enough liquid detected in tip 7 to complete operation.  (Auto-action handled error);Go to Bottom;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;6;6;75;Move Error on Tips:             7    Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;6;6;83;Move Error on Tips:             7    Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;6;6;100;Move Error on Tips:             7    Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:58;575;66;12;Transfer Samples_1;6;6;105;Move Error on Tips:             7    Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;313;12;Transfer Samples_1;4;4;239;Liquid level sense false trigger on tip 3.;Retry;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;119;12;Transfer Samples_1;9;9;246;Not enough liquid detected in tip 3 to complete operation.  (Auto-action handled error);Go to Bottom;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;257;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;262;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;274;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;279;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;318;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;329;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;337;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;372;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
sample pooling 200ul no Scanning.pro;7/19/2021 15:49;574;66;12;Transfer Samples_1;6;6;412;Move Error on Tips:     3            Move Tips Back?;Yes;Janus;
